Name,Street,Address,Phone,Email,Website
EXIT River Rock Realty,P.O. Box 1431,"Millbrook, AL 36054-0031",334-290-5091,realtorhamner@gmail.com,
"Copeland, Franco, Screws &Gill",Post Office Box 347,"Montgomery, AL 36104-0347",334-834-1180,mfranco@copelandfranco.com,
SCOTT FERGUSON APPRAISALS,604 MORGAN LANE,"ENTERPRISE, Al 36330-3633",(334) 477-6789,SCOTTFERGUSON@ADELPHIA.NET,
Wallace & Moody Realty,7051 Fain Park Dr Suite 125,"Montgomery, AL 36117-7848",334-300-0398,wallacemoodyrealty1@yahoo.com,
"CENTURY 21 Lake Area Realty, Inc.",440 N. Broadnax Street,"Dadeville, AL 36853-2102",256-825-4800,rhonda@lakearearealty.net,
"BJJ Properties, LLC",PO Box 117,"Mount Meigs, AL 36057-0117",334-215-1977,bjohns@dubosecorp.com,
Realty Central,5300 Oak Tree Road Suite H,"Millbrook, AL 36054-2219",334-285-4646,betsy@realtycentralalabama.com,
Certainty Home Loans,8101 Seaton Place Suite B,"Montgomery, AL 36116-7205",334-213-2537,lharris@certaintyhomeloans.com,
First Realty of Greenville,100 W. Commerce St. Suite 102,"Greenville, AL 36037-2216",334-382-2688,glenn@froginc.com,
Pearl Realty,109 County Rd 64,"Deatsville, AL 36022-3356",334-306-5261,henryhharris@aol.com,
"Riley Real Estate, LLC.",122 Calhoun St.,"Alexander City, AL 35010-1932",256-234-2131,kennyriley@bellsouth.net,
Century 21 James Grant Realty,,,(334) 793-2200,ginagrant1@hotmail.com,jgrantrealty.com
A K Appraisals,249 Shell Road,"Georgiana, AL 36033-5006",334-437-1802,melissa_brogden@yahoo.com,
Silver Rain Realty,503 Greystone Way Unit D,"Prattville, AL 36066-7228",334-568-2011,keithpittard@realtor.com,
"Nicole Sloan Realty, LLC.",2770 Bell Rd. Suite 7,"Montgomery, AL 36117-6890",334-356-4288,nsloan@nicolesloanrealty.com,
"HOMETOWN REALTY, LLC",,,(334) 774-4663,ljohnson447@gmail.com,
Aronov Realty - Prattville,678 McQueen Smith Road N.,"Prattville, AL 36066-3314",334-365-9999,jimmy.austin@aronov.com,
Brown Properties Inc,563 George Todd Dr.,"Montgomery, AL 36117-2233",334-273-8160,brownproperties1945@gmail.com,
DALEVILLE REAL ESTATE INC.,,,(334) 598-4433,,
"Phoenix Realty Group, Inc.",104 Overdale Ct.,"Madison, AL 35756-6701",256-503-4943,rhondallong@gmail.com,
Mallory Realty,PO Box 6056,"Montgomery, AL 36106-0056",334-262-7773,cmallory@mindspring.com,
"Garry S. McAnally, LLC.",1943 Berry Chase Place,"Montgomery, AL 36117-6894",334-676-3210,jon@mcannallylaw.com,
Max Credit Union,400 Eastdale Circle,"Montgomery, AL 36117-2114",334-215-4866,khill@mymax.com,www.mymax.com
New Waters Realty LLC.,2239 Marler Road,"Pike Road, AL 36064-3801",334-272-3200,Jennifer@TheWatersAL.com,www.thewatersal.com
"JAMES BOWMAN REALTY, INC.",,,(334) 794-7211,PAM@DOTHANFORSALE.COM,
"Garth Realty Group, LLC.",400 Eastern Boulevard Ste 201,"Montgomery, AL 36117-2043",334-593-0489,kenysesavage@gmail.com,
Alabama Real Estate LLC,7833 Vaughn Road,"Montgomery, AL 36116-6709",334-277-6116,juliedettwiler@yahoo.com,
Dabwood LLC.,1430 I-85 Parkway Suite 210,"Montgomery, AL 36106-3685",334-386-3822,RSheldonlaw@gmail.com,
Freedom HW,1186 E 4600 Suite 110,"Ogden, UT 84403-4896",888-495-2249,marketing@freedomhw.com,www.freedomhw.com
Monarch Appraisal Services,Post Office Box 11349,"Montgomery, AL 36104-5139",334-262-1672,monarchbrett@aol.com,
EXIT River Rock Realty,P.O. Box 1431,"Millbrook, AL 36054-0031",334-290-5091,realtorhamner@gmail.com,
"1st Choice Properties, LLC.",2635 Valleydale Rd. Suite 200,"Hoover, AL 35244-2716",205-433-9811,asitton7@gmail.com,
Realty Redefined,470 Pinecrest Rd.,"Prattville, AL 36067-3506",334-430-5842,ddbrobst@gmail.com,
Shawn Murphy Appraisal Serv. LLC.,8741 Lillington Circle,"Montgomery, AL 36117-0910",334-395-6434,shawnmurphy@knology.net,
John Lewis Appraisal,1111 Lake Lane,"Demopolis, AL 36732-3256",334-341-9505,john.lewisinsurance@yahoo.com,
Southern Star Property Mgnt,480 McQueen Smith Rd. S,"Prattville, AL 36066-5631",334-365-4679,ltv79@aol.com,
"Legacy Properties, LLC",2901 Citizens Parkway,"Selma, AL 36701-3916",334-874-9346,lhicks@legacypropertiesselma.com,
Nathan Stephen Appraisal Serv,P.O. Box 242236,"Montgomery, AL 36124-2236",334-799-7262,nestephen@knology.net,
"eXp Realty, LLC. - Southern Branch",5027 Mercer Street Suite 104,"Montgomery, AL 36117-6784",888-923-5547,al.broker@exprealty.com,
Storing Up Treasures Realty,103 N. Powell Street,"Union Springs, AL 36089-1624",334-738-3524,sharrisebaltimore@yahoo.com,
I Shoot Houses,1020 Smith Mountain Drive,"Jacksons Gap, AL 36861-2598",334-320-7486,sherry@go2REassistant.com,
Certainty Home Loans,8101 Seaton Place Suite B,"Montgomery, AL 36116-7205",334-213-2537,lharris@certaintyhomeloans.com,
Pilgreen Real Estate Company,10270 Highway 80 East,"Montgomery, AL 36117-6060",334-272-3697,epilgreen@gmail.com,
David Herman Realty,P.O. Box 70672,"Montgomery, AL 36107-0672",334-207-2464,porterfield714@yahoo.com,
"New World Real Estate, LLC.","981 hwy 98 E, suite 3-256","Destin, AL 32541-2584",251-554-1657,brenda@bmclean.net,wwwemeraldcoastrealtors.com
The Appraiser Group LLP,P.O. Box 208,"Troy, AL 36081",334-268-2255,kellie@TheAppraiserGroup.com,
Community Realty Estate Appr,35 Creek Ct.,"Montgomery, AL 36117-4116",334-799-7757,communityappraisals@ymail.com,
"Colonial Residential, LLC.",3107 Pinehurst,"Montgomery, AL 36111",334-270-6700,jfarrior@colonialresidential.net,
River Region Realty Group LLC,"445 Dexter Ave., Suite 4050","Montgomery, AL 36104-3867",334-557-7060,treysippial@gmail.com,http://www.riverregionrealtygroup.com
Scarborough & Associates,1322 Old Oak Place,"Montgomery, AL 36117-6880",334-323-1142,marriess613@aol.com,
LanMac Realty,155 Coliseum Boulevard,"Montgomery, AL 36109-2707",334-277-5546,barbara.lanmac@knology.net,
"All Safe Inspections, LLC",P.O. Box 210433,"Montgomery, AL 36121-0433",334-558-1719,dougthornton@bellsouth.net,www.allsafeinspections.com
Riverview Real Estate,140 Orline Street,"Wetumpka, AL 36092-2705",334-462-5263,robinsonrealtor@msn.com,
La Mansion Properties,8151 Vaughn Road,"Montgomery, AL 36116-6701",334-271-2882,herbshopwellness@gmail.com,
"Watson Appraisals, Inc.",P.O. Box 213,"Fairhope, AL 36532",251-923-0115,dreww@eqval.com,
Trustmark National Bank,248 E. Capitol Street,"Jackson, MS 39201-2503",601-208-6077,dloflin@trustmark.com,
"Jones and Jones Real Estate, LLC",42 Greenleaf Lane,"Rockford, AL 35136-2116",334-301-7789,kwanza@jonesandjones.info,
PMI River Region,5925 Carmichael Rd.,"Montgomery, AL 36117-2518",334-819-5414,electialove@hotmail.com,
The Brokerage House,6330 Woodmere Blvd.,"Montgomery, AL 36117-2500",334-277-8172,boydbvrs@gmail.com,
"Providence Realty, LLC",8449 Crossland Loop Suite 124,"Montgomery, AL 36117-0919",334-312-2244,lafemmeinc@bellsouth.net,
W David Price,1262 Perry Hill Rd,"Montgomery, AL 36109-5200",334-313-0366,ywdprice@yahoo.com,
Goodson Appraisal Service,476 Weatherby Trl,"Prattville, AL 36067-3857",256-825-8038,srvcs_w@bellsouth.net,
New Waters Realty LLC.,2239 Marler Road,"Pike Road, AL 36064-3801",334-272-3200,Jennifer@TheWatersAL.com,www.thewatersal.com
"America's Preferred Home Warranty, Inc.",2727 Spring Arbor Rd.,"Jackson, MI 49203-3605",800-648-5006,hhenry@aphw.com,aphw.com
Hardy Appraisal Service,2474 Gunston Court,"Auburn, AL 36832-3420",334-740-7336,hardyappraisal@charter.net,http://www.hardyappraisal.com
D.R. Horton Homes - Birmingham,2188 Parkway Lake Dr. Ste 200,"Hoover``, AL 35244-1803",334-409-6984,snulph@drhorton.com,
Community Realty Estate Appr,35 Creek Ct.,"Montgomery, AL 36117-4116",334-799-7757,communityappraisals@ymail.com,
Property Services,P O Box 2452,"Selma, AL 36702-2452",334-874-6600,nrbps@bellsouth.net,
"Hal F Leary Home Inspect., LLC",639 Oliver Road,"Montgomery, AL 36117-2244",334-270-8899,hallearyhomeinspector@gmail.com,
DESTINY REALTY,,,(334) 493-0067,DESTINY.REALTY@OPPCATV.COM,WWW.DESTINYREALTY-1.COM
Bernice Tharp Realty,2939 Chestnut Street,"Montgomery, AL 36109-3009",334-288-7653,berniecy@aol.com,
Interlinc Mortgage,6985 Halcyon Park Dr.,"Montgomery, AL 36117-6943",334-399-3732,snickles@lincloan.com,
BRYARS APPRAISALS,,,,,
"WB Realty, LLC",5510 Wares Ferry Rd Suite U25,"Montgomery, AL 36117-2111",334-387-2301,rockybrownjr@aol.com,
Waynes Pest Control,105 Waugh Industrial Park Dr.,"Pike Road, AL 36064",334-332-8050,charley.farmer@callwaynes.com,
JERRY DELL APPRAISALS,,,(334) 347-4555,,
DeVaughn Realty,75 Lightwood Road,"Deatsville, AL 36022-3494",334-322-7719,annetted3861@hotmail.com,
House & Home Real Estate,2857 Zelda Rd.,"Montgomery, AL 36106-2614",334-230-5777,carol@HouseValuesInMontgomery.com,houseandhome.house
CENTURY 21 GATEWAY REALTY OF OZARK,,"OZARK, Al 36361-3636",(334) 774-4961,C21.Gateway@troycable.net,
SHIVER APPRAISALS,,,(334) 702-0121,pwshvr@aol.com,
"Lake Dog Realty, LLC.",2271 Red Hill Rd,"Eclectic, AL 36024-4433",334-306-7921,jimmybakerrealtor@gmail.com,
"Farrow Burks Appraisals, LLC.",P.O. Box 230723,"Montgomery, AL 36123-0723",334-399-4377,farrow.burks@gmail.com,
Dean Realty,3458 Lexington Road,"Montgomery, AL 36111-1330",334-613-8111,endeansr@aol.com,
COURSON APPRAISALS,,,(334) 504-0279,coursonappraisals@gmail.com,
COLDWELL BANKER PRESTIGE HOMES AND REAL ESTATE,,,(334) 347-7971,cbadmin@fortruckerareahomes.com,
"JAMES BOWMAN REALTY, INC.",,,(334) 794-7211,PAM@DOTHANFORSALE.COM,
The Irvine Group LLC,1378 Hwy 31 N,"Prattville, AL 36067-1922",334-301-9668,earlirvine@icloud.com,
Mike Noble Appraisal. LLC,280 Harrogate Springs Rd.,"Wetumpka, AL 36093-2301",334-799-6978,mike@mikenobleappraisals.com,
BRYARS APPRAISALS,,,,,
"Residential Alabama, LLC.",4201 Nordale Dr.,"Montgomery, AL 36116-2300",334-424-3100,towannahsmith@gmail.com,
FlatFee.com,5830 Sheridan Street,"Hollywood, FL 33021-3253",954-965-3990,info@flatfee.com,
Sun Real Estate,233 D Deatsville Hwy,"Millbrook, AL 36054-1636",334-285-0800,sunestate@bellsouth.net,
EMPIRE REAL ESTATE,,,(334) 699-8222,EMPIRE.REALESTATE@Aim.COM,
"Douglas F Hixon, Appraiser",1785 Taliaferro Trail,"Montgomery, AL 36117-7758",334-215-0388,dfhixon@bellsouth.net,
,,,334-582-1300,maryalyce@callanoutlaw.com,
"Aronov Insurance, Inc.",3500 Eastern Blvd,"Montgomery, AL 36116-1781",334-277-1000,Angelia.Stewart@aronov.com,
Alabama Real Estate LLC,7833 Vaughn Road,"Montgomery, AL 36116-6709",334-277-6116,juliedettwiler@yahoo.com,
"Realty South, Chilton",1500 7th Street N,"Clanton, AL 35045-2122",205-755-7719,pbingham@realtysouth.com,
Summit Realty Group LLC,3760 Coosada Rd,"Millbrook, AL 36054-3349",334-285-3383,chadigs@bellsouth.net,
REMAX Cornerstone Realty,10406 Hwy. 231,"Wetumpka, AL 36092-5366",334-478-3825,chadbarrett1@yahoo.com,
Marketplace Housing LLC,17197 N Laurel Park Dr Ste 340,"Livonia, MI 48152-7913",800-331-0646,mike.kalis@marketplacehomes.com,
DESTINY REALTY,,,(334) 493-0067,DESTINY.REALTY@OPPCATV.COM,WWW.DESTINYREALTY-1.COM
,1841 Honeysuckle Road,"Dothan, AL 36305",334-702-3595,susanscott@kw.com,
Charles Nicrosi Real Estate,PO Box 11633,"Montgomery, AL 36111-0633",334-274-1121,cnicrosi@yahoo.com,
"HomeStop Realty, LLC.","4252 Carmichael Road, Ste 224","Montgomery, AL 36106-2804",334-233-3254,isellhomes334@gmail.com,
,1841 Honeysuckle Road,"Dothan, AL 36305",334-702-3595,susanscott@kw.com,
Montgomery Advertiser,Post Office Box 1000,"Montgomery, AL 36101-1000",334-261-1536,kmount@gannett.com,www.montgomeryadvertiser.com
Williams and Williams,710 Deer Run Trail,"Shorter, AL 36075",334-312-7214,bern.will32@yahoo.com,
"Church & Church Appraisals, LLC",175 COUNTY RD 100,"Deatsville, AL 36022-2740",334-358-7779,rick_church@bellsouth.net,
"Legacy Properties, LLC",2901 Citizens Parkway,"Selma, AL 36701-3916",334-874-9346,lhicks@legacypropertiesselma.com,
Alabama Assoc. of REALTORS,PO Box 4070,"Montgomery, AL 36103-4070",334-262-3808,,
James E Lester Jr Real Estate,283 County Road 1 North,"Jones, AL 36745-3201",850-814-8102,,
"The Thomas Hill Group, L.L.C",2921 Marti Lane Ste. 3-C,"Montgomery, AL 36116-3187",334-281-5118,tthgroupllc@gmail.com,
Waynes Pest Control,105 Waugh Industrial Park Dr.,"Pike Road, AL 36064",334-332-8050,charley.farmer@callwaynes.com,
"Montgomery Inspection, LLC.",7218 Timbermill Dr.,"Montgomery, AL 36117-5190",334-531-9664,paul@montgomeryinspection.com,montgomeryinspection.com
RE/MAX Tri-Star,1322 Old Oak Place,"Montgomery, AL 36117-6880",334-244-2400,watkins@remax-montgomery-al.net,
