Name,Street,Locality,Region,Postal_Code,Phone,Fax,Email
Art House Creative LLC,2810 Crescent Avenue,Homewood,AL,35209,205-352-7742,,rhale@arthousecreativemarketing.com
Abound Real Estate,"2024 3rd Avenue N, Suite 309",Birmingham,AL,35203,205-382-1140,,neal@abound-re.com
5G Properties LLC,5260 Slasham Road,Southside,AL,35907,256-613-3618,,rikkicosper@gmail.com
Baltz Realty Group,"600 Broad Street, Suite 101",Gadsden,AL,35901,256-467-4174,,karenbaltz@gmail.com
"Baker & Associates, LLC","200 Cahaba Park Circle, Suite 210",Birmingham,AL,35242,310-849-8940,,christopheralanbaker@mac.com
"Brokermint, LLC","2175 Salk Ave, #185",Carlsbad,CA,92008,619-433-6784,,support@brokermint.com
"BEX Realty, LLC",5607 Turfwood Lane,Houston,TX,77088,800-700-9806,561-544-3809,albroker@bexrealty.com
BOOMTOWN,635 RUTLEDGE AVE,CHARLESTON,SC,29403,843-300-4615,,IDX@BOOMTOWNROI.COM
Barnes & Associates,4322 3rd Avenue South,Birmingham,AL,35222,205-328-3330,205-328-3342,abrabarnes@bellsouth.net
All Properties,1426 4th Street S W,Cullman,AL,35055,256-831-5245,,realestate39@yahoo.com
Certified Valuation Group Bham,1816 28th Ave S,Birmingham,AL,35209,205-623-3995,,CertifiedValuationGroup@gmail.com
"Alliance Realty Group, LLC","1 Chase Corporate Drive, Ste 400",Birmingham,AL,35244,205-730-6198,,adamcox92@gmail.com
Certified Valuation Group,237 Farmingdale Trace,Harpersville,AL,35078,706-302-0189,205-449-2292,certifiedvaluationgroup@gmail.com
"CoStar Realty Information, Inc.","3438 Peachtree Road NE, Suite 1500",Atanta,GA,30326,855-381-5349,,ydean@costar.com
"Corporate South Realty, Inc.",2727 Rainbow Drive,Rainbow City,AL,35906,256-543-1292,256-543-1299,joeg@corporatesouth.com
"Cotton State Realty, LLC",10 Gantts Junction Road,Sylacauga,AL,35150,256-369-2288,256-369-2299,rcomer@cottonstaterealtyllc.com
Century 21 Novus Realty,537 Newnan Road,Carrollton,GA,30117,678-664-1400,,C21novus@gmail.com
CSM Realty,4956 Valleydale Rd ste 101,Birmingham,AL,35242,205-981-9700,205-980-5098,dean_chatham@bellsouth.net
DATAPERK,2515 6th Ave South,Birmingham,AL,35233,205-879-4600,,tfuller@dataperk.com
Deaton Realty LLC,2100 Southbridge Parkway Suite 650,Homewood,AL,35209,205-502-4748,,scottdeaton1@gmail.com
"Decas Group, Inc.",490 Wildwood Circle North Ste 109,Birmingham,AL,35209,205-982-5647,,paige@decasgroup.com
"Darling Appraisal Group, LLC",113 High Hampton Drive,Pelham,AL,35124,205-253-6033,205-621-4467,aldarling@charter.net
Dac Roe Corporation,870 Hickory Nut Lane,Lawrenceville,GA,30043,470-589-9300,877-862-1463,cwkengr01@yahoo.com
"Cushman & Wakefield of GA, Inc","2100 3rd Avenue North, Ste 700",Birmingham,AL,35203,205-918-8514,205-939-4441,tim.rau@cushwake.com
"DAL Properties, LLC",135 Belcher Drive,Pelham,AL,35124,205-789-6927,888-825-9721,peter@thoroughbredhomes.net
Curtis White Companies Inc,8132 Parkway Drive,Leeds,AL,35094,205-699-2283,205-699-5347,curtiswhiteco@yahoo.com
"Curaytor, LLC",97 Salem St,Boston,MA,02113,617-921-5263,,rets@curaytor.com
Culpepper Real Estate Inc,601 7th Avenue S. W.,Cullman,AL,35055,256-739-1389,,culpepper@culpepperrealestate.com
Crochen & Associates Realty Gr,"201 Beacon Pkwy W, Ste 109",Homewood,AL,35209,205-563-1941,205-278-8701,yrushell@gmail.com
Crochen and Associates,813 Park Avenue,Fairfield,AL,35064,205-563-1941,,fred.crochen@gmail.com
Crochen and Associates,813 Park Avenue,Fairfield,AL,35064,205-563-1941,,fred.crochen@gmail.com
"Crest Valuation Realty, Inc.",421 Office Park Drive,Birmingham,AL,35223,205-223-4202,205-870-8859,jflake@crestappraisal.com
CRE Residential,3505 Bent River Rd,Birmingham,AL,35216,205-985-7171,205-985-7176,leagle@resresource.com
C Real Estate,2145 14th Avenue South,Birmingham,AL,35205,205-222-5532,205-453-0211,jcsco@yahoo.com
Crawford Realty in Alabama,"4500 Valleydale Rd, Ste 60",Birmingham,AL,35242,205-437-2004,800-878-9308,cresters@aol.com
Covenant Realty,105 Hayesbury Dr.,Pelham,AL,35124,205-369-5230,,kdd5230@gmail.com
"C P Rentals, Inc.",2400 Mountain Drive Ste 103,Birmingham,AL,35226,205-937-5207,,paulcprentals@gmail.com
"Corporate South Realty, Inc.",2727 Rainbow Drive,Rainbow City,AL,35906,256-543-1292,256-543-1299,joeg@corporatesouth.com
Cornerstone Real Estate LLC,824 Columbiana Road,Birmingham,AL,35209,205-567-6310,,laudanhenderson@hotmail.com
"Copeland Appraisals, LLC",2309 Kala Street,Helena,AL,35080,205-329-9345,205-278-4446,copeland9445@bellsouth.net
Copperleaf Properties,120 Church Street,Rainbow City,AL,35906,256-467-3025,256-467-3025,julie@copperleaf-properties.com
Coosa Properties,2870 Pinedale Drive,Southside,AL,35907,256-442-8475,256-442-8272,rtallent@coosaproperties.com
Cook Properties & Management,Cook Properties & Management,Birmingham,AL,35205,205-767-8821,,jarrod@cookpropertysales.com
Closing Deals LLC,115 Nobility Court,Roswell,GA,30355,404-961-6833,678-298-5640,julemc@yahoo.com
Clokey Realty,3224 Rainbow Dr,Rainbow City,AL,35906,256-442-1000,,clokeyinfo@clokeyrealty.com
Clear Capital R E,10266 Truckee Airport Road,Truckee,CA,96161,530-550-2500,,clearre@clearcapital.com
"Cliff Realty, LLC",705 Pleasant Grove Rd #106,Pleasant Grove,AL,35127,205-744-0500,205-744-4654,mickeyhankins0525@yahoo.com
Classic Realty Groups,2401 Stemley Bridge Rd Suite 10,Pell City,AL,35128,205-983-5622,205-678-4478,kkennessey@gmail.com
Claire Realty,305 Market Street,Centreville,AL,35042,205-926-5695,205-926-5695,alareal1@aol.com
C Jones Realty,"6908 2nd Ave. South, Ste. A",Birmingham,AL,35212,205-276-6910,,mr.leonardjones@yahoo.com
Citiwide Real Estate,3 Office Park Circle Ste 312,Birmingham,AL,35223,205-879-2552,205-879-2554,terryberns@aol.com
"Constellation Web Solutions, Inc",6737 W WASHINGTON ST STE 2120,WEST ALLIS,WI,53214,425-636-6910,,BROKERSOLUTIONS@CONSTELLATIONSWS.COM
"Christian Realty Group, LLC",9609 Parkway East Ste E,Birmingham,AL,35215,205-862-8484,,christianrealty7@gmail.com
Complete 3 Tech Soultions dba Lyons Computers,722 37th St. S.,Birmingham,AL,35222,205-251-5966,205-251-5978,cwhite@lyonscomputer.com
"COMMISSIONS, INC.",1351 DIVIDEND DR STE K,Marietta,GA,30067,855-259-7277,,MLS@COMMISSIONSINC.COM
Comans Appraisal,703 Lake Country Drive,Odenville,AL,35120,205-640-7458,205-640-7459,patcomans@windstream.net
Collett Appraisal Service,3026 Bowron Road,Helena,AL,35080,205-229-0151,,mdavidcollett@aol.com
Continental Real Estate Group,3 Elm Ave,Hackensack,NJ,07601,877-996-5728,,christine@eisenberg.bz
Coley Properties INC.,8201 Golf Cours Rd NW D3 Ste 1,Albuquerque,NM,87120,505-480-6478,505-431-7704,coleyproperties@gmail.com
Coldwell Banker Graben-Arab,2202 N. Brindlee Mtn. Pkwy.,Arab,AL,35016,256-586-2717,256-586-2167,coldwellbanker@otelco.net
Colbaugh Realty Group,2477 Valleydale Road A-2,Birmingham,AL,35244,205-908-7701,,tony@thecrg.net
Coalmont Realty,"45 Lake Davidson Lane, #1",Helena,AL,35080,205-624-4557,,lauren@rentalresourcegroup.com
CNL Specialty Real Estate,"420 S. Orange Ave., Ste. 950",Orlando,FL,32801,770-446-2910,407-540-7750,matt.messier@cnl.com
Chris Bradford Appraisals,1465 Leota Road,Southside,AL,35907,256-442-7700,256-442-7701,cbappraisal@bellsouth.net
Chime Inc.,"420 E South Temple, Ste 270",Salt Lake City,UT,84111,801-917-5860,,mls_support@chimeinc.com
Chime Inc.,"420 E South Temple, Ste 270",Salt Lake City,UT,84111,801-917-5860,,mls_support@chimeinc.com
"Charles Zanaty Appraisers, LLC",2201 Vestavia Drive,Birmingham,AL,35216,205-879-2189,205-879-2188,charliezanaty@bellsouth.net
"Cheaha Realty Services, LLC","88865 Highway 9, P. O. Box 68",Lineville,AL,36266,256-396-2717,256-396-2756,info@cheaharealty.com
"Chapman Appraisal, Inc.",9099 Camp Piers Road,Bessemer,AL,35023,205-907-2852,,hubert@chapmanappraisal.net
Charles Poe Realty,36 20th Ave NW,Birmingham,AL,35215,205-856-0401,205-854-4297,poecharles@att.net
Chanda Davis Real Estate,475 Providence Main Suite 404,Huntsville,AL,35806,256-682-1920,,chandadavis0@gmail.com
Cevado Technologies,PO BOX 266,Chelan,WA,98816,509-682-2519,,idx@cevado.com
Champion Realty,23016 U. S. Highway 31,Jemison,AL,35085,205-296-4561,205-688-3268,hudchampions@gmail.com
Cedar Crest Realty,441 Old Highway 31,Warrior,AL,35180,205-590-4100,205-590-4120,cedar1@bellsouth.net
CBRE,"1 Chase Corporate Dr., Suite 415",Hoover,AL,35244,205-582-5733,,daniel.lincoln@cbre.com
Century 21 Advantage,"2200 Valleydale Rd., Ste. 100",Birmingham,AL,35244,205-823-6677,205-823-6679,paul.holley@century21.com
Casey Bishop & Burroughs Realty,"2112 12th Avenue N, Ste. #103",Birmingham,AL,35234,205-222-1171,205-426-0422,WACASEY@BELLSOUTH.NET
Casa Realty,103 Broadway,Birmingham,AL,35209,205-870-8100,205-870-7010,johnnycreel@aol.com
Carrie Fitts Real Estate,2021 8th Street,Tuscaloosa,AL,35401,205-248-7353,,carrie@ahousethatfitts.com
"Allen & Associates Realty, Inc","925 Sharit Ave., Ste. 219B",Gardendale,AL,35071,205-631-4321,,qgina@bellsouth.net
