Name,Address,City/State/Zip,office_contract,Phone,Fax,Email,Website
1ST Choice Properties LLC,2635 Valleydale Road,"Birmingham, AL 35244",,205-433-9811,,asitton7@gmail.com,
1ST GENESIS REALTY,2123 9th Street Suite 208,"Tuscaloosa, AL 35401",,205-419-5447,,carlarealestatepro@gmail.com,
ADVANTAGE REALTY,1641 McFarland Blvd. North,"Tuscaloosa, AL 35406",,(205) 345-0116,(205) 758-1831,advantage@advantagerealtygroup.com,www.advantagerealtygroup.com
ALA REAL ESTATE APPRAISERS BOARD,PO BOX 304355,"MONTGOMERY, AL 36130",,334-242-8747,,SAM.DAVIS@REAB.ALABAMA.GOV,
ALABAMA POWER,600 N 18th Street,"Birmingham, AL 35203",,205-257-4641,,saustin@southernco.com,
ALABAMA VALUATIONS & CONSULTANT SVC,10385 LOGANWOOD DRIVE,"NORTHPORT, AL 35473",,(205) 345-5046,(205) 345-4056,DMASSENGALE@CS.COM,
"All Terrain Appraisal Service, LLC",P.O. Box 98,"Samantha, AL 35482",,205-454-0317,,allterrainappraisal@gmail.com,
ALLIED REALTY & DEVELOPMENT,500 30th Ave E,"TUSCALOOSA, 35404",,(205) 554-1792,205 554-1742,info@alliedrealtyinc.com,
ALLISON APPRAISAL,,"TUSCALOOSA, AL 35403",,(205) 752-2189,(205) 752-2114,20575222189@PROJ2000.COM,
"Andrew J Bone Real Estate Group, LLC",1747 Reese Street,"Homewood, AL 35209",,205-531-5577,,andrewbone2436@yahoo.com,
ARC REALTY,4274 Cahaba Heights Ct,"Birmingham, AL 35243",,2059698910,2059698990,lawrekb@gmail.com,
C.I. Appraisals,2905 WEST CORP BLVD STE 119,"HUNTSVILLE, AL 35805",,256-428-4545,256-428-4564,robb@banton.com,
ARC REALTY,4274 Cahaba Heights Ct,"Birmingham, AL 35243",,2059698910,2059698990,lawrekb@gmail.com,
AVAST REALTY,3920 Culver Road,"Tuscaloosa, AL 35401",JEROME BEAMS,205-951-8992,,jeromebeams@gmail.com,
BEAR REALTY,6242 OLD TUSCALOOSA HWY,"MCCALLA, AL 35111",,205-344-2327,,erakasteam@aol.com,
BENCHMARK REALTY,312 Hargrove Road E,"TUSCALOOSA, AL 35401",,205-210-5005,866-865-2421,debra@debrahuka.com,
BILLY BOYD REALTY,3811 PALISADES DRIVE,"TUSCALOOSA, AL 35405",,(205) 556-2693,(205) 556-2788,julieb@billyboyd.com,
"BLUE CREEK REALTY GROUP, LLC",803 MAIN AVE,"NORTHPORT, AL 35476",,(205) 343-7744,(205) 343-0166,BBULL@BLUECREEKGROUP.COM,
BRADFORD APPRAISAL SERVICE,2560 BEACON HILL PARKWAY,"TUSCALOOSA, AL 35406",,(205) 758-0001,(205) 391-0927,BRADFORDAPPRAISALS@HOTMAIL.COM,
BRIAN PORTER APPRAISALS,4610 BLUGRASS PKWY,"TUSCALOOSA, AL 35406",,(205) 562-8029,(205) 562-8050,aprlshop@comcast.net,
C REAL ESTATE,2145 14TH AVE S,"BIRMINGHAM, AL 35205",,2052225532,,JCSCO@YAHOO.COM,
C.I. Appraisals,2905 WEST CORP BLVD STE 119,"HUNTSVILLE, AL 35805",,256-428-4545,256-428-4564,robb@banton.com,
CAPITAL REAL ESTATE,705 27TH AVENUE,"TUSCALOOSA, AL 35401",,(205) 342-9888,(205) 342-9995,,www.cretuscaloosa.com
CAPITAL REAL ESTATE,705 27TH AVENUE,"TUSCALOOSA, AL 35401",,(205) 342-9888,(205) 342-9995,,www.cretuscaloosa.com
